D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,Moira,hours,rank
27:9,4:2,3:1,1:0,1:0,1:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 5 Min. Ago,4765
3:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,5:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4756
4:2,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4744
0:0,0:0,0:0,0:0,0:0,43:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4730
0:0,10:2,0:0,0:0,0:0,0:0,0:1,3:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,Updated : 21 Hours Ago,4720
0:0,1:1,7:1,1:0,0:0,0:0,3:2,0:0,5:2,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4709
0:0,72:45,1:0,3:5,8:3,1:1,11:10,44:28,1:0,2:1,6:6,0:1,14:10,2:0,0:1,1:1,0:1,1:0,0:1,0:0,1:0,2:0,0:2,0:1,2:1,0:1,0:0,Updated : 4 Min. Ago,4707
4:3,0:2,22:8,2:0,0:0,3:1,0:0,0:0,0:2,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 31 Hours Ago,4703
0:0,7:3,31:18,2:4,0:0,4:6,15:13,1:1,7:6,0:1,7:6,0:0,6:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,4703
0:0,14:10,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 9 Hours Ago,4698
2:2,4:4,2:3,27:11,5:4,0:2,19:12,0:0,2:0,9:8,19:9,1:1,14:15,0:0,0:0,1:1,4:1,6:3,5:2,0:0,0:0,0:1,0:1,0:0,0:0,1:0,0:0,Updated : 32 Hours Ago,4691
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,43:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 7 Hours Ago,4689
0:0,8:2,24:6,6:2,1:0,3:1,13:5,2:1,2:0,0:1,13:3,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 3 Hours Ago,4689
14:7,0:0,0:1,5:1,11:6,0:2,0:0,0:0,0:0,0:0,0:0,1:1,1:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 47 Hours Ago,4687
35:22,0:1,0:2,2:0,13:14,0:0,0:1,0:1,1:0,0:1,0:0,0:0,1:1,1:1,0:0,1:1,0:0,3:2,0:2,0:0,1:0,1:2,0:0,2:2,0:0,0:0,0:0,Updated : 54 Hours Ago,4686
0:0,22:11,4:5,2:2,4:3,0:2,21:15,10:8,0:0,0:1,13:14,0:0,15:8,0:0,0:0,0:0,0:0,1:0,2:2,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,Updated : 6 Hours Ago,4676
2:1,18:11,6:3,2:1,0:1,0:1,14:9,3:1,0:1,4:2,23:11,1:0,4:2,0:0,0:1,1:0,0:0,0:1,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 5 Hours Ago,4674
0:0,0:0,0:0,0:0,0:0,15:9,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4673
21:13,3:4,6:6,1:0,32:18,2:2,0:0,0:0,0:0,1:0,0:0,2:2,1:0,0:0,0:0,3:0,4:0,1:2,10:6,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 19 Hours Ago,4673
0:0,23:28,0:1,0:2,0:0,0:0,56:49,3:6,0:0,0:0,43:35,0:0,9:5,0:0,0:0,0:0,0:1,0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 4 Hours Ago,4670
0:0,0:0,0:1,0:0,0:0,46:27,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,Updated : 9 Hours Ago,4666
9:5,6:2,3:1,5:0,4:2,1:1,0:1,3:1,1:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,1:0,2:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4665
0:0,14:4,2:1,1:1,1:0,8:1,2:1,3:2,2:0,0:1,7:2,0:0,1:2,0:0,0:0,0:0,0:0,2:1,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,Updated : 14 Hours Ago,4665
0:0,0:0,0:1,0:0,0:0,56:38,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,Updated : 5 Hours Ago,4663
89:70,0:0,3:2,3:5,1:6,0:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,Updated : 7 Hours Ago,4662
0:0,8:1,0:0,0:0,0:0,0:0,4:1,1:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 6 Hours Ago,4661
3:0,9:6,1:1,0:2,0:0,0:1,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 38 Min. Ago,4659
0:1,33:14,1:4,0:2,7:5,2:1,3:3,9:8,0:0,2:2,3:3,1:2,31:8,0:1,0:0,3:4,0:1,4:2,3:3,0:0,0:0,0:0,0:0,1:1,1:0,0:0,0:0,Updated : 49 Hours Ago,4659
2:0,2:4,46:28,2:0,2:1,10:1,1:1,0:0,7:6,1:0,0:3,1:0,1:2,0:0,0:0,0:2,0:0,0:1,1:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,Updated : 25 Min. Ago,4658
0:0,6:2,5:1,0:0,0:0,0:0,1:0,3:2,0:1,2:0,2:0,0:0,6:4,1:0,0:0,0:0,0:0,1:0,2:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,4656
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,39:21,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,1:1,0:0,0:0,Updated : 2 Hours Ago,4656
0:0,5:7,0:1,0:1,1:0,1:0,3:3,9:2,0:0,3:1,4:1,0:0,9:0,0:0,1:0,0:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 121 Hours Ago,4655
27:15,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 20 Hours Ago,4653
0:0,13:3,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,Updated : 5 Hours Ago,4652
0:0,0:0,0:0,0:0,0:0,21:12,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4652
0:0,14:6,0:0,4:0,2:1,0:0,0:1,6:2,0:0,2:0,1:0,0:0,4:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,2:0,1:0,0:0,0:0,Updated : 82 Hours Ago,4652
