D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,rank
0:0,1:0,23:5,4:0,1:0,1:4,0:0,0:1,1:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,4816
0:0,3:0,20:7,1:0,0:0,11:5,2:0,0:0,4:4,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4788
41:12,4:2,3:1,1:0,1:0,1:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4783
0:0,5:3,0:0,1:0,0:0,0:0,2:1,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4771
0:0,4:0,8:0,0:0,0:0,0:0,0:0,0:0,1:0,0:1,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,4750
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,54:16,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4746
0:0,0:0,8:5,0:0,0:0,0:0,0:1,1:0,0:0,0:0,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4736
0:0,0:0,0:2,0:0,0:0,67:31,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,4728
17:5,14:10,2:2,2:1,5:4,0:1,7:3,4:2,4:2,2:2,0:1,0:0,2:0,0:0,0:0,2:3,0:0,3:2,10:8,0:0,1:1,0:0,1:0,0:0,0:0,0:0,4727
0:0,5:2,22:13,0:2,0:1,0:1,0:1,0:0,2:3,0:0,1:1,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,4608
2:1,2:2,0:0,0:0,6:1,0:0,1:1,35:20,1:0,2:1,0:0,0:0,3:1,1:1,0:1,0:0,0:0,22:7,2:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,4711
0:0,1:2,24:8,2:1,0:0,0:0,4:4,0:0,6:2,0:0,3:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4710
0:0,8:1,2:0,0:0,0:0,0:0,8:2,1:1,0:0,0:0,3:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4706
0:0,0:0,1:0,0:0,0:0,52:21,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:2,0:0,0:0,0:0,0:0,4706
4:0,4:3,34:15,0:1,0:0,1:1,1:1,1:0,4:2,0:0,0:1,0:1,1:0,0:0,0:0,0:0,0:1,0:0,1:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,4701
2:1,1:2,15:7,1:0,0:0,5:1,1:2,0:0,0:0,0:0,1:0,5:3,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,4694
6:7,0:0,1:0,1:0,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,4693
0:0,9:2,28:8,7:2,1:0,3:1,16:7,2:1,2:0,0:2,13:4,0:0,2:1,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4692
11:6,7:3,4:0,7:1,4:2,2:1,0:1,3:1,1:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,1:0,2:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,4687
0:0,43:21,4:2,5:7,0:1,0:0,6:5,18:9,0:0,10:7,8:5,0:1,4:3,0:0,0:0,0:1,0:0,16:12,1:3,0:0,0:0,0:1,0:0,0:0,1:0,0:0,4687
26:23,1:0,1:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4637
19:10,0:0,0:1,5:1,13:7,0:3,0:0,0:0,0:0,0:0,0:0,2:0,1:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,4682
0:0,23:30,0:1,0:2,0:0,0:0,59:50,3:7,0:0,0:0,48:37,0:0,9:5,0:0,0:1,0:0,0:1,0:2,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,4682
8:4,56:30,2:1,6:5,9:7,3:4,22:17,9:9,0:1,1:3,22:15,0:0,2:1,0:0,0:0,1:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,4680
5:0,12:6,1:1,7:5,0:0,0:1,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4674
2:2,2:2,0:1,2:1,0:0,0:0,12:4,1:2,0:0,1:0,42:21,0:0,7:1,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,4672
3:1,0:1,0:1,3:1,2:1,0:0,17:9,1:2,3:1,1:1,2:1,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,4668
4:2,4:4,1:0,0:1,3:0,0:0,8:2,2:1,0:1,2:0,1:1,0:0,4:2,0:1,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4667
5:1,1:1,1:1,3:2,2:1,1:2,18:7,2:1,2:2,1:0,3:1,0:0,1:0,0:0,0:0,1:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4667
3:4,2:2,86:48,15:12,0:0,16:15,3:3,0:0,3:2,0:1,2:0,0:1,3:3,0:0,0:3,2:0,0:1,0:0,1:1,0:0,1:1,0:0,0:0,0:1,0:0,0:0,4665
8:3,0:0,0:0,2:0,1:0,0:0,0:1,1:0,1:0,0:0,2:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,4:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4663
2:1,12:5,0:0,1:0,0:0,0:0,4:5,0:0,0:0,0:0,2:1,1:1,19:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4663
0:0,29:21,6:3,1:0,0:0,0:0,3:1,9:12,5:1,2:2,0:1,0:0,11:6,0:0,0:0,0:0,0:0,2:2,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,4663
0:0,29:17,1:1,2:1,1:0,0:0,7:5,1:2,0:1,2:0,5:4,0:0,3:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,4662
2:1,19:12,6:3,2:1,0:1,0:1,15:10,3:1,0:1,5:2,25:13,1:0,6:4,0:1,0:1,1:0,0:0,1:1,0:2,0:0,0:0,0:0,1:0,0:0,0:0,0:0,4662
0:0,21:11,0:0,4:0,3:2,0:0,0:1,6:2,0:0,2:0,1:0,0:0,5:2,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,2:0,1:0,0:0,4661
0:0,0:1,3:1,2:1,1:0,0:0,5:3,0:0,0:0,0:0,1:2,2:0,0:1,0:0,0:0,0:0,0:0,0:0,21:7,0:0,1:0,0:0,0:0,0:0,0:0,0:0,4660
0:0,16:9,4:5,3:2,0:1,1:0,24:13,16:10,0:1,1:4,27:15,0:1,8:2,2:2,0:0,0:0,0:0,1:0,1:1,0:0,0:0,0:1,1:0,0:0,3:0,0:0,4658
0:0,4:1,2:1,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4655
5:3,5:3,1:1,2:0,1:0,0:0,1:2,0:0,1:1,2:1,0:2,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4655
