D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,hours,rank
27:9,4:2,3:1,1:0,1:0,1:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 26 Min. Ago,4765
3:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,5:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4756
4:2,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 13 Hours Ago,4744
0:0,0:0,0:0,0:0,0:0,43:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4730
0:0,10:2,0:0,0:0,0:0,0:0,0:1,3:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,Updated : 14 Hours Ago,4720
0:0,72:45,1:0,3:5,8:3,1:1,11:10,44:28,1:0,2:1,6:6,0:1,14:10,2:0,0:1,1:1,0:1,1:0,0:1,0:0,1:0,2:0,0:2,0:1,2:1,0:1,Updated : 2 Hours Ago,4707
4:3,0:2,22:8,2:0,0:0,3:1,0:0,0:0,0:2,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 24 Hours Ago,4703
0:0,7:3,31:18,2:4,0:0,4:6,15:13,1:1,7:6,0:1,7:6,0:0,6:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 12 Hours Ago,4703
0:0,1:1,6:1,1:0,0:0,0:0,3:2,0:0,5:2,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 19 Hours Ago,4701
0:0,14:10,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 2 Hours Ago,4698
2:2,4:4,2:3,27:11,5:4,0:2,19:12,0:0,2:0,9:8,19:9,1:1,14:15,0:0,0:0,1:1,4:1,6:3,5:2,0:0,0:0,0:1,0:1,0:0,0:0,1:0,Updated : 25 Hours Ago,4691
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,43:15,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,Updated : 10 Hours Ago,4689
